2024-08-16 16:33:10,917 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806190.8759 | End Time: 1723806190.9171 | Execution Time: 41.1992 ms |
2024-08-16 16:33:19,107 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806199.0662 | End Time: 1723806199.1078 | Execution Time: 41.6164 ms |
2024-08-16 16:33:26,030 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806205.9509 | End Time: 1723806206.0310 | Execution Time: 80.0726 ms |
2024-08-16 16:33:27,681 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806207.6449 | End Time: 1723806207.6815 | Execution Time: 36.6199 ms |
2024-08-16 16:33:41,260 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806221.2008 | End Time: 1723806221.2601 | Execution Time: 59.2668 ms |
2024-08-16 16:33:47,902 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806227.8399 | End Time: 1723806227.9028 | Execution Time: 62.8078 ms |
2024-08-16 16:33:54,969 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806234.8823 | End Time: 1723806234.9697 | Execution Time: 87.3928 ms |
2024-08-16 16:33:59,036 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806238.9780 | End Time: 1723806239.0364 | Execution Time: 58.3332 ms |
2024-08-16 16:34:02,026 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806241.9828 | End Time: 1723806242.0263 | Execution Time: 43.5243 ms |
2024-08-16 16:34:46,548 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806286.3939 | End Time: 1723806286.5488 | Execution Time: 154.9003 ms |
